Results,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
Average,  1.332,  0.847,125.069
Minimum,   1.192,   0.778,  94.324
Maximum,   1.483,   0.912, 11236.000
Std,   0.058,   0.029, 350.644
# In Calc, 1006, 1006, 1006

Date,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
2010-11-24,1.3324,0.845,111.38
2010-11-25,1.3376,0.8481,111.82
2010-11-26,1.3236,0.8475,111.3
2010-11-29,1.3123,0.8425,110.53
2010-11-30,1.2998,0.8348,108.75
2010-12-01,1.3135,0.8406,110.57
2010-12-02,1.3223,0.8477,110.92
2010-12-03,1.3408,0.8493,110.83
2010-12-06,1.3323,0.847,110.08
2010-12-07,1.3274,0.8419,110.82
2010-12-08,1.3258,0.839,111.41
2010-12-09,1.3239,0.8397,110.79
2010-12-10,1.3226,0.8364,110.96
2010-12-13,1.3389,0.8444,111.67
2010-12-14,1.3384,0.8479,111.95
2010-12-15,1.3221,0.8506,111.45
2010-12-16,1.3224,0.8464,111.16
2010-12-17,1.3181,0.8493,110.64
2010-12-20,1.312,0.8457,109.88
2010-12-21,1.3092,0.8466,109.64
2010-12-22,1.3092,0.851,109.4
2010-12-23,1.3115,0.8499,108.76
2010-12-24,1.3115,0.8491,108.7
2010-12-27,1.3156,0.8533,108.97
2010-12-28,1.3114,0.8526,108.09
2010-12-29,1.3231,0.8532,108
2010-12-30,1.3279,0.8614,108.28
2010-12-31,1.3366,0.8567,108.53
2011-01-03,1.3351,0.8625,109.12
2011-01-04,1.3298,0.8531,109.07
2011-01-05,1.3149,0.8481,109.51
2011-01-06,1.3014,0.8412,108.43
2011-01-07,1.2924,0.8306,107.29
2011-01-10,1.295,0.8315,107.14
2011-01-11,1.2977,0.8309,107.99
2011-01-12,1.313,0.8326,108.9
2011-01-13,1.3349,0.843,110.5
2011-01-14,1.3368,0.8426,110.9
2011-01-17,1.3294,0.8364,109.95
2011-01-18,1.3382,0.8386,110.56
2011-01-19,1.3465,0.842,110.5
2011-01-20,1.347,0.8467,111.78
2011-01-21,1.3615,0.8504,112.41
2011-01-24,1.3641,0.8529,112.56
2011-01-25,1.3683,0.8648,112.52
2011-01-26,1.369,0.8612,112.68
2011-01-27,1.3737,0.8623,113.83
2011-01-28,1.3606,0.8577,111.74
2011-01-31,1.3693,0.8548,112.35
2011-02-01,1.3831,0.8564,112.58
2011-02-02,1.3807,0.8529,112.55
2011-02-03,1.3632,0.8443,111.26
2011-02-04,1.3588,0.8439,111.66
2011-02-07,1.3586,0.843,111.85
2011-02-08,1.3635,0.8483,112.28
2011-02-09,1.3721,0.8524,113.06
2011-02-10,1.3595,0.8448,113.22
2011-02-11,1.355,0.846,113.07
2011-02-14,1.3483,0.841,112.33
2011-02-15,1.3483,0.8362,113.05
2011-02-16,1.3561,0.8424,113.37
2011-02-17,1.3604,0.8413,113.33
2011-02-18,1.3686,0.8426,113.75
2011-02-21,1.3675,0.843,113.64
2011-02-22,1.3655,0.8462,112.98
2011-02-23,1.3749,0.8482,113.46
2011-02-24,1.3799,0.8554,113.04
2011-02-25,1.3744,0.8535,112.24
2011-02-28,1.3801,0.8488,112.86
2011-03-01,1.3771,0.847,112.82
2011-03-02,1.3866,0.8491,113.53
2011-03-03,1.396,0.8578,114.95
2011-03-04,1.3983,0.8593,115.13
2011-03-07,1.3973,0.8623,114.97
2011-03-08,1.39,0.8604,114.89
2011-03-09,1.3902,0.858,115.04
2011-03-10,1.3784,0.859,114.35
2011-03-11,1.3903,0.8644,113.76
2011-03-14,1.3997,0.865,114.34
2011-03-15,1.3993,0.8706,113.17
2011-03-16,1.3897,0.8672,110.94
2011-03-17,1.4017,0.8687,110.68
2011-03-18,1.4165,0.8731,114.58
2011-03-21,1.422,0.8718,115.24
2011-03-22,1.4202,0.8666,114.91
2011-03-23,1.4126,0.8691,114.29
2011-03-24,1.4168,0.8796,114.72
2011-03-25,1.4068,0.8779,114.54
2011-03-28,1.4091,0.8806,115.13
2011-03-29,1.4095,0.8812,116.19
2011-03-30,1.4132,0.8788,117.16
2011-03-31,1.4197,0.8838,117.91
2011-04-01,1.4224,0.8827,119.63
2011-04-04,1.4216,0.8816,119.46
2011-04-05,1.4222,0.8733,120.64
2011-04-06,1.4334,0.8776,122.45
2011-04-07,1.4307,0.8766,121.42
2011-04-08,1.4439,0.8828,122.58
2011-04-11,1.4433,0.8825,122.12
2011-04-12,1.4478,0.8907,121.15
2011-04-13,1.4445,0.8879,121.03
2011-04-14,1.4491,0.8863,120.86
2011-04-15,1.4421,0.885,119.82
2011-04-18,1.4236,0.8754,117.65
2011-04-19,1.4338,0.8787,118.25
2011-04-20,1.451,0.8846,119.51
2011-04-21,1.4543,0.8802,119.03
2011-04-22,1.4547,0.8805,119.18
2011-04-25,1.458,0.8837,119.13
2011-04-26,1.464,0.8882,119.38
2011-04-27,1.4789,0.8891,121.3
2011-04-28,1.4822,0.8902,120.8
2011-04-29,1.4826,0.8871,120.18
2011-05-02,1.4825,0.8903,120.45
2011-05-03,1.4824,0.8999,120.04
2011-05-04,1.483,0.8987,119.48
2011-05-05,1.4529,0.8869,116.45
2011-05-06,1.4346,0.8751,115.65
2011-05-09,1.435,0.8753,115.12
2011-05-10,1.4402,0.8803,116.34
2011-05-11,1.4195,0.8684,114.96
2011-05-12,1.424,0.8745,115.15
2011-05-13,1.4106,0.8715,113.97
2011-05-16,1.4184,0.8749,114.52
2011-05-17,1.4227,0.8754,115.75
2011-05-18,1.4233,0.8808,116.22
2011-05-19,1.4308,0.8821,116.64
2011-05-20,1.4176,0.8718,115.74
2011-05-23,1.4049,0.8721,115.13
2011-05-24,1.4113,0.8714,115.65
2011-05-25,1.4093,0.8654,115.49
2011-05-26,1.4132,0.8622,114.98
2011-05-27,1.4292,0.8671,115.56
2011-05-30,1.4278,0.8672,115.57
2011-05-31,1.4386,0.8744,117.19
2011-06-01,1.4345,0.8777,116.12
2011-06-02,1.4484,0.885,117.16
2011-06-03,1.4625,0.8899,117.36
2011-06-06,1.4568,0.891,116.69
2011-06-07,1.4685,0.8932,117.52
2011-06-08,1.4573,0.8888,116.42
2011-06-09,1.4517,0.8865,116.52
2011-06-10,1.4337,0.8834,115.12
2011-06-13,1.4411,0.8796,115.56
2011-06-14,1.4449,0.8826,116.24
2011-06-15,1.4173,0.8762,114.74
2011-06-16,1.4176,0.8783,114.33
2011-06-17,1.4289,0.8837,114.36
2011-06-20,1.43,0.8826,114.74
2011-06-21,1.4406,0.887,115.45
2011-06-22,1.4355,0.8934,115.31
2011-06-23,1.4237,0.8902,114.71
2011-06-24,1.417,0.8874,114.02
2011-06-27,1.428,0.8936,115.5
2011-06-28,1.4354,0.8977,116.46
2011-06-29,1.4428,0.8985,116.65
2011-06-30,1.4514,0.9038,116.88
2011-07-01,1.4521,0.9035,117.41
2011-07-04,1.4529,0.903,117.41
2011-07-05,1.4421,0.8979,116.89
2011-07-06,1.43,0.8941,115.75
2011-07-07,1.4351,0.8987,116.54
2011-07-08,1.4249,0.8882,114.91
2011-07-11,1.4017,0.8813,112.54
2011-07-12,1.3968,0.8778,110.92
2011-07-13,1.4139,0.8777,111.65
2011-07-14,1.4131,0.8759,111.89
2011-07-15,1.4145,0.8767,111.85
2011-07-18,1.4102,0.8792,111.45
2011-07-19,1.4134,0.8769,111.94
2011-07-20,1.4227,0.8801,112.04
2011-07-21,1.4375,0.8821,112.81
2011-07-22,1.4361,0.881,112.63
2011-07-25,1.4373,0.8817,112.51
2011-07-26,1.451,0.8839,113.05
2011-07-27,1.4366,0.8797,112.09
2011-07-28,1.4306,0.8753,111.25
2011-07-29,1.4379,0.8751,110.69
2011-08-01,1.4265,0.8748,110.04
2011-08-02,1.4216,0.8715,109.58
2011-08-03,1.432,0.8719,110.23
2011-08-04,1.4132,0.869,111.62
2011-08-05,1.4274,0.8725,111.94
2011-08-08,1.4206,0.8688,110.37
2011-08-09,1.4339,0.8804,110.18
2011-08-10,1.4189,0.8796,109.04
2011-08-11,1.424,0.8772,109.46
2011-08-12,1.4248,0.8753,109.42
